day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;ASH_COATED_OSMIUM;;;;;;;10013;30;;;;;10013.0;0.0
0;0;INTARIAN_PEPPER_ROOT;11991;19;;;;;12006;10;12009;19;;;11998.5;0.0
0;100;INTARIAN_PEPPER_ROOT;11994;9;11991;23;;;12007;9;12010;23;;;12000.5;0.0
0;100;ASH_COATED_OSMIUM;9995;13;;;;;10011;13;10013;30;;;10003.0;0.0
0;200;INTARIAN_PEPPER_ROOT;11991;20;;;;;12007;11;12010;20;;;11999.0;0.0
0;200;ASH_COATED_OSMIUM;9994;13;9992;21;;;10013;21;;;;;10003.5;0.0
0;300;ASH_COATED_OSMIUM;9994;11;9992;23;;;10010;11;10013;23;;;10002.0;0.0
0;300;INTARIAN_PEPPER_ROOT;11994;10;11991;24;;;12007;10;;;;;12000.5;0.0
0;400;ASH_COATED_OSMIUM;9994;13;9991;23;;;10010;13;10012;23;;;10002.0;0.0
0;400;INTARIAN_PEPPER_ROOT;11994;12;11991;25;;;;;;;;;11994.0;0.0
0;500;INTARIAN_PEPPER_ROOT;11994;11;11991;25;;;12007;11;12010;25;;;12000.5;0.0
0;500;ASH_COATED_OSMIUM;9994;12;9991;22;;;10010;12;10012;22;;;10002.0;0.0
0;600;INTARIAN_PEPPER_ROOT;11990;17;;;;;12006;9;12009;17;;;11998.0;0.0
0;600;ASH_COATED_OSMIUM;9991;24;;;;;10010;12;;;;;10000.5;0.0
0;700;ASH_COATED_OSMIUM;9991;27;;;;;10010;10;;;;;10000.5;0.0
0;700;INTARIAN_PEPPER_ROOT;11993;11;11990;24;;;12006;11;12009;24;;;11999.5;0.0
0;800;ASH_COATED_OSMIUM;9993;11;;;;;10012;26;;;;;10002.5;0.0
0;800;INTARIAN_PEPPER_ROOT;11993;9;;;;;;;;;;;11993.0;0.0
0;900;INTARIAN_PEPPER_ROOT;11993;8;11990;15;;;12006;8;12009;15;;;11999.5;0.0
0;900;ASH_COATED_OSMIUM;9992;11;9990;27;;;10008;11;10011;27;;;10000.0;0.0
0;1000;INTARIAN_PEPPER_ROOT;11993;11;11990;17;;;12006;11;12009;17;;;11999.5;0.0
0;1000;ASH_COATED_OSMIUM;9993;12;9990;26;;;10009;12;10011;26;;;10001.0;0.0
0;1100;ASH_COATED_OSMIUM;9993;13;;;;;;;;;;;9993.0;0.0
0;1100;INTARIAN_PEPPER_ROOT;;;;;;;12007;12;12010;15;;;12007.0;0.0
0;1200;ASH_COATED_OSMIUM;9999;2;9993;14;;;;;;;;;9999.0;0.0
0;1200;INTARIAN_PEPPER_ROOT;11994;8;11991;21;;;12007;8;12010;21;;;12000.5;0.0
0;1300;INTARIAN_PEPPER_ROOT;11994;8;;;;;12007;8;12010;21;;;12000.5;0.0
0;1300;ASH_COATED_OSMIUM;9993;11;9991;27;;;10009;11;10012;27;;;10001.0;0.0
0;1400;INTARIAN_PEPPER_ROOT;11994;8;11991;19;;;12007;8;;;;;12000.5;0.0
0;1400;ASH_COATED_OSMIUM;9993;12;9990;24;;;10009;12;10011;24;;;10001.0;0.0
0;1500;ASH_COATED_OSMIUM;9992;14;9990;20;;;10008;14;10011;20;;;10000.0;0.0
0;1500;INTARIAN_PEPPER_ROOT;11994;9;11991;21;;;12010;21;;;;;12002.0;0.0
0;1600;ASH_COATED_OSMIUM;9992;12;;;;;10011;22;;;;;10001.5;0.0
0;1600;INTARIAN_PEPPER_ROOT;11994;10;11991;24;;;12010;24;;;;;12002.0;0.0
0;1700;INTARIAN_PEPPER_ROOT;11993;10;11990;16;;;;;;;;;11993.0;0.0
0;1700;ASH_COATED_OSMIUM;9992;11;9990;27;;;10008;11;10011;27;;;10000.0;0.0
0;1800;INTARIAN_PEPPER_ROOT;11993;10;11990;15;;;12006;10;12009;15;;;11999.5;0.0
0;1800;ASH_COATED_OSMIUM;9997;2;9992;11;9989;25;10008;11;10010;25;;;10002.5;0.0
0;1900;ASH_COATED_OSMIUM;9992;14;9990;29;;;10008;14;;;;;10000.0;0.0
0;1900;INTARIAN_PEPPER_ROOT;11993;9;11990;23;;;12006;9;12009;23;;;11999.5;0.0
0;2000;ASH_COATED_OSMIUM;9993;10;;;;;10009;10;10012;25;;;10001.0;0.0
0;2000;INTARIAN_PEPPER_ROOT;11993;10;11990;25;;;12007;10;12010;25;;;12000.0;0.0
0;2100;INTARIAN_PEPPER_ROOT;;;;;;;12007;10;12010;23;;;12007.0;0.0
0;2100;ASH_COATED_OSMIUM;9993;13;9991;23;;;;;;;;;9993.0;0.0
0;2200;INTARIAN_PEPPER_ROOT;11994;12;11991;16;;;12007;12;12010;16;;;12000.5;0.0
0;2200;ASH_COATED_OSMIUM;;;;;;;10009;15;10012;30;;;10009.0;0.0
0;2300;INTARIAN_PEPPER_ROOT;11994;8;11991;22;;;12010;22;;;;;12002.0;0.0
0;2300;ASH_COATED_OSMIUM;9993;11;;;;;10009;11;10012;22;;;10001.0;0.0
0;2400;INTARIAN_PEPPER_ROOT;11994;12;11991;20;;;12007;12;12010;20;;;12000.5;0.0
0;2400;ASH_COATED_OSMIUM;9993;13;9991;23;;;10009;13;10012;23;;;10001.0;0.0
0;2500;ASH_COATED_OSMIUM;9993;10;9991;20;;;10012;20;;;;;10002.5;0.0
0;2500;INTARIAN_PEPPER_ROOT;12004;4;11994;10;11991;16;;;;;;;12004.0;0.0
0;2600;ASH_COATED_OSMIUM;9993;10;;;;;10012;25;;;;;10002.5;0.0
0;2600;INTARIAN_PEPPER_ROOT;11994;9;;;;;12007;9;12010;21;;;12000.5;0.0
0;2700;ASH_COATED_OSMIUM;9993;10;9991;24;;;10009;10;;;;;10001.0;0.0
0;2700;INTARIAN_PEPPER_ROOT;11994;11;11991;21;;;12007;11;12010;21;;;12000.5;0.0
0;2800;ASH_COATED_OSMIUM;9991;29;;;;;10009;10;10012;29;;;10000.0;0.0
0;2800;INTARIAN_PEPPER_ROOT;11993;10;11990;24;;;;;;;;;11993.0;0.0
0;2900;ASH_COATED_OSMIUM;9993;12;9991;23;;;10009;12;10012;23;;;10001.0;0.0
0;2900;INTARIAN_PEPPER_ROOT;11993;11;11990;19;;;12006;11;12009;19;;;11999.5;0.0
0;3000;ASH_COATED_OSMIUM;9993;10;9991;29;;;10009;10;10012;29;;;10001.0;0.0
0;3000;INTARIAN_PEPPER_ROOT;11993;8;11990;18;;;12007;8;12010;18;;;12000.0;0.0
0;3100;ASH_COATED_OSMIUM;9991;26;;;;;10010;14;;;;;10000.5;0.0
0;3100;INTARIAN_PEPPER_ROOT;;;;;;;12007;10;12010;18;;;12007.0;0.0
0;3200;INTARIAN_PEPPER_ROOT;11994;12;11991;21;;;12007;12;12010;21;;;12000.5;0.0
0;3200;ASH_COATED_OSMIUM;9999;4;9993;11;;;10009;11;;;;;10004.0;0.0
0;3300;INTARIAN_PEPPER_ROOT;;;;;;;12007;8;12010;22;;;12007.0;0.0
