timestamp;buyer;seller;symbol;currency;price;quantity
1300;SUBMISSION;;VEV_4000;SEASHELLS;1256;3
2700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5270;8
2900;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5271;8
4800;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5272;3
5700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5274;5
10200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;10019;6
10700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5264;4
11200;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10029;4
12600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;3
13900;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5268;4
15700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10033;2
16300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5274;5
17400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5275;3
19100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;10019;6
19700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5266;13
23100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;4
26500;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5268;6
29200;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9994;4
33300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5270;7
35700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5269;3
35800;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;7
36100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5270;4
38400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5266;8
41100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9996;6
41700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5253;5
42000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5248;8
43000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5251;8
44000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9981;4
45100;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9989;3
45100;SUBMISSION;;VEV_5400;SEASHELLS;15;4
48100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5260;7
49800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9959;3
50900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9954;14
50900;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9957;16
51000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9952;11
51000;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9955;19
51100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9954;11
51100;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9957;19
51300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9951;14
51300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9953;16
51400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9949;11
51400;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9952;19
51500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9950;15
51500;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9952;15
51600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9952;11
51600;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9955;14
52600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5262;8
53200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5263;5
53600;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5258;5
58300;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9958;6
59200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5243;8
60700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9968;5
64300;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5250;3
67600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5261;4
70000;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5256;6
70400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5259;5
70900;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9988;2
72700;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9982;3
73100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5257;7
73200;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5255;5
76700;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5257;4
79300;SUBMISSION;;VEV_5300;SEASHELLS;47;1
83000;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5270;6
84100;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5271;8
85500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9948;2
85500;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5272;8
89300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9936;14
89300;SUBMISSION;;HYDROGEL_PACK;SEASHELLS;9938;4
91700;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5265;8
92600;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5270;4
95100;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5263;8
97200;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5264;7
97400;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5259;5
101800;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9978;3
102400;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9978;3
103500;SUBMISSION;;VELVETFRUIT_EXTRACT;SEASHELLS;5264;8
104500;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9978;2
106300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5261;7
108800;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5262;3
109400;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5265;6
109600;;SUBMISSION;HYDROGEL_PACK;SEASHELLS;9984;6
111300;;SUBMISSION;VELVETFRUIT_EXTRACT;SEASHELLS;5262;7
